estado,regiao,ano,mes,avg_temp_ar,p50_temp_ar,p1_temp_ar,p5_temp_ar,p99_temp_ar
BR,BR,2009,1,24.46276336631977,24.1,14.3,14.3,34.2
BR,BR,2009,2,24.65829058032749,24.2,16,16,33.2
BR,BR,2009,3,24.711028485213028,24.4,15.3,15.3,34.1
BR,BR,2009,4,23.3355013204877,23.6,11.8,11.8,32.2
BR,BR,2009,5,21.93684792823295,22.6,8.4,8.4,31.5
BR,BR,2009,6,20.239350370143605,21,4.4,4.4,31.8
BR,BR,2009,7,20.844532658126635,21.3,3.7,3.7,33.2
BR,BR,2009,8,22.08051456728508,22.1,7.6,7.6,34.7
BR,BR,2009,9,23.53835990966919,23.5,8.6,8.6,36
BR,BR,2009,10,24.14820907636769,24.1,10.7,10.7,35.4
BR,BR,2009,11,25.41159681599787,25,15.8,15.8,35.4
BR,BR,2009,12,24.8254676583277,24.5,15.3,15.3,34.4
BR,BR,2010,1,25.094964862440193,24.7,16.7,16.7,33.9
BR,BR,2010,2,25.76658125736044,25.4,16.6,16.6,35.2
BR,BR,2010,3,25.063346712220476,24.7,15.3,15.3,34.6
BR,BR,2010,4,23.4749521342105,23.8,10.8,10.8,33.5
BR,BR,2010,5,22.113769762977576,22.6,8.4,8.4,33.8
BR,BR,2010,6,21.02541788888851,21.4,6,6,33.5
BR,BR,2010,7,21.163572078947197,21.4,4.5,4.5,33.9
BR,BR,2010,8,21.509779369098485,21.7,4.2,4.2,35.5
BR,BR,2010,9,23.550393687431516,23.4,9.3,9.3,36.8
BR,BR,2010,10,23.83124725227856,23.8,9.6,9.6,36.5
BR,BR,2010,11,24.063836864172828,23.9,11.5,11.5,35
BR,BR,2010,12,24.677218452710687,24.4,14.1,14.1,34.3
BR,BR,2011,1,24.674489528538583,24.2,16.6,16.6,33.3
BR,BR,2011,2,24.606641022740128,24.2,16.2,16.2,33.2
BR,BR,2011,3,23.883916503733253,23.6,14.3,14.3,32.5
BR,BR,2011,4,23.29223661748874,23.4,12.1,12.1,32.3
BR,BR,2011,5,21.416375752295206,22,7.7,7.7,32
BR,BR,2011,6,20.33382581882828,20.8,3.9,3.9,32.9
BR,BR,2011,7,20.72477004699505,21,3.5,3.5,33.4
BR,BR,2011,8,21.953075604772263,22.1,4.4,4.4,35.7
BR,BR,2011,9,22.877176396850476,23,7.4,7.4,36.5
BR,BR,2011,10,23.63481832739937,23.5,11.3,11.3,35.2
BR,BR,2011,11,23.581710732833972,23.5,11.3,11.3,34.3
BR,BR,2011,12,24.405024522560144,24,13.5,13.5,35.1
BR,BR,2012,1,24.259227317828103,23.8,14.7,14.7,34.4
BR,BR,2012,2,24.74452251184428,24.2,16.1,16.1,34.4
BR,BR,2012,3,24.315252844988652,24,12.8,12.8,34.2
BR,BR,2012,4,23.80608662188418,23.8,10.7,10.7,34.3
BR,BR,2012,5,22.079640695176725,22.3,8.5,8.5,33.8
BR,BR,2012,6,21.468461480272076,21.8,5.5,5.5,33.6
BR,BR,2012,7,20.76961333744687,21.2,4.2,4.2,34.2
BR,BR,2012,8,22.198662066669694,22,8.5,8.5,35.1
BR,BR,2012,9,23.710828665804968,23.7,7.9,7.9,36.9
BR,BR,2012,10,24.89854289367987,24.6,12.4,12.4,37.1
BR,BR,2012,11,24.62697780010907,24.3,13.5,13.5,35.4
BR,BR,2012,12,25.594066953338782,25.1,16.5,16.5,35.4
BR,BR,2013,1,24.68104981321176,24.4,14.5,14.5,34.4
BR,BR,2013,2,24.955496699752274,24.5,15.4,15.4,34.9
BR,BR,2013,3,24.589729304422825,24.4,13.5,13.5,35.2
BR,BR,2013,4,23.212712730435324,23.5,10.2,10.2,33.5
BR,BR,2013,5,22.196323925294028,22.7,7.5,7.5,32.9
BR,BR,2013,6,21.647192690719532,21.9,8.1,8.1,33
BR,BR,2013,7,20.80467951063241,21.3,3.4,3.4,33.7
BR,BR,2013,8,21.49339564232074,22,4.1,4.1,35.2
BR,BR,2013,9,23.301076621881233,23.4,7.6,7.6,36.4
BR,BR,2013,10,23.873628179334652,23.7,10.5,10.5,35.9
BR,BR,2013,11,24.305497543740774,24,13.1,13.1,34.9
BR,BR,2013,12,24.905212469251545,24.5,15.3,15.3,34.8
BR,BR,2014,1,25.113213320307114,24.7,16.2,16.2,34.4
BR,BR,2014,2,24.984804478609625,24.5,15.7,15.7,35
BR,BR,2014,3,24.264794415999617,24,14.2,14.2,33.2
BR,BR,2014,4,23.594894830816155,23.7,11.1,11.1,32.9
BR,BR,2014,5,21.954442598402956,22.5,8.2,8.2,32.6
BR,BR,2014,6,21.624751345336012,21.8,7.2,7.2,33.1
BR,BR,2014,7,21.043398526367877,21.1,5.9,5.9,33.6
BR,BR,2014,8,22.200431017745505,22.2,6.4,6.4,35.3
BR,BR,2014,9,23.867337231872106,23.7,10.6,10.6,36.2
BR,BR,2014,10,24.720327427687806,24.4,11.7,11.7,37
BR,BR,2014,11,24.50076929991228,24.2,13.7,13.7,34.9
BR,BR,2014,12,24.699535290205002,24.3,15,15,34.4
BR,BR,2015,1,25.520962912481846,25,16.4,16.4,35.5
BR,BR,2015,2,24.77114449079227,24.3,16.1,16.1,34.2
BR,BR,2015,3,24.35162931613387,24,14.9,14.9,33.5
BR,BR,2015,4,23.761712202078627,23.8,12.4,12.4,33.4
BR,BR,2015,5,22.239073224941865,22.5,9.6,9.6,33.1
BR,BR,2015,6,21.462341892213413,21.7,6.6,6.6,33.2
BR,BR,2015,7,21.440863157761523,21.4,7.7,7.7,33.9
BR,BR,2015,8,22.8954404742353,22.6,9.7,9.7,35.8
BR,BR,2015,9,24.45980430810053,24.4,9.2,9.2,37.4
BR,BR,2015,10,25.32880393192105,25.1,11.9,11.9,37.8
BR,BR,2015,11,25.462072036353653,25.1,13.7,13.7,37.1
BR,BR,2015,12,25.774312047281523,25.3,16.2,16.2,36.7
BR,BR,2016,1,25.041287038205486,24.6,16.5,16.5,34.6
BR,BR,2016,2,25.669175139151474,25.2,17.2,17.2,34.7
BR,BR,2016,3,24.99597508777138,24.8,14.6,14.6,34.5
BR,BR,2016,4,24.85431804459294,24.9,8.3,8.3,34.8
BR,BR,2016,5,22.357917668992062,22.8,7.2,7.2,34.4
BR,BR,2016,6,20.763211361615124,21.4,3.2,3.2,34.1
BR,BR,2016,7,21.29557388254874,21.5,4.4,4.4,34.7
BR,BR,2016,8,22.322640735785754,22.4,6.5,6.5,36.2
BR,BR,2016,9,23.114044264982695,23.4,7.6,7.6,36.5
BR,BR,2016,10,24.297380470937497,24.2,10.5,10.5,36.7
BR,BR,2016,11,24.5212929655108,24.3,11.7,11.7,36.2
BR,BR,2016,12,24.92130829645311,24.6,14.4,14.4,35.2
BR,BR,2017,1,25.220195902816283,24.7,16.403999999999996,16.403999999999996,35.1
BR,BR,2017,2,24.976165156615668,24.5,16.8,16.8,34.1
BR,BR,2017,3,24.561085185634248,24.3,14,14,34
BR,BR,2017,4,23.472444449585993,23.7,10.2,10.2,33.1
BR,BR,2017,5,22.676638939078853,22.8,10.6,10.6,33.6
BR,BR,2017,6,21.371723308465246,21.6,6.5,6.5,33.3
BR,BR,2017,7,20.393687401159724,20.4,4.6,4.6,33.2
BR,BR,2017,8,22.259640682957215,22.1,7.6,7.6,36
BR,BR,2017,9,23.931444370080925,23.7,11.4,11.4,36.7
BR,BR,2017,10,24.723918556429805,24.5,11.4,11.4,37.4
BR,BR,2017,11,24.18358090732821,24,11.8,11.8,35.4
BR,BR,2017,12,24.810756905045594,24.4,15,15,35.2
