regiao,ano,mes,avg_temp_ar,p50_temp_ar,p1_temp_ar,p5_temp_ar,p99_temp_ar
CO,2009,1,24.74650692624485,24,17.4,19.4,34.4
CO,2009,2,24.848154499257618,24,18.8,20.2,33.4
CO,2009,3,25.054315627232057,24.2,18.5,20.1,34.6
CO,2009,4,24.24915568570034,23.6,15.9,18.2,33.5
CO,2009,5,23.043705558528938,22.6,12.8,15.9,32.8
CO,2009,6,21.12539282447403,20.7,8.1,12.7,32.2
CO,2009,7,22.268149040797685,21.6,8.6,13.2,33.75199999999968
CO,2009,8,23.480979798382275,22.8,10.6,14.7,35.2
CO,2009,9,24.78443116207205,24.1,13.2,16.6,36.2
CO,2009,10,25.1408075653565,24.4,16.9,19.1,35.2
CO,2009,11,25.67725536046099,24.9,18.6,20.5,35.2
CO,2009,12,24.57756704786965,23.9,18.2,19.9,33.1
CO,2010,1,24.90067420479763,24.2,18.4,20.2,33.8
CO,2010,2,25.622894547201536,24.8,18.7,20.6,35.1
CO,2010,3,25.38508148853776,24.5,18.5,20.2,34.4
CO,2010,4,24.30869963556406,23.8,14.3,16.9,34.3
CO,2010,5,22.21216207919779,22.1,9.1,12.5,33.8
CO,2010,6,22.230336403684422,21.4,10.3,13.6,33.8
CO,2010,7,21.970349716446126,21.4,8.4,11.9,34.2
CO,2010,8,23.01881913797461,22.4,8.4,12.4,36.4
CO,2010,9,26.321447013145708,25.7,14.5,17.5,38.1
CO,2010,10,25.3634769809774,24.6,15.4,18.3,36.2
CO,2010,11,24.339341868183972,23.7,16.3,18.4,33.9
CO,2010,12,24.94267322053124,24.3,16.5,19.2,34.8
CO,2011,1,24.453496829903926,23.7,18.2,19.7,32.9
CO,2011,2,24.35168015697817,23.6,18.2,19.8,32.4
CO,2011,3,24.061780528253045,23.4,18.4,19.8,32.1
CO,2011,4,24.12956435397791,23.5,16.1,18.1,32.6
CO,2011,5,22.18368053471013,21.8,11.4,14.3,32.3
CO,2011,6,21.122394090035847,20.5,7.9,12.1,32.8
CO,2011,7,22.120806847382962,21.4,9.2,12.8,34
CO,2011,8,23.783014395896878,23.5,8,11.8,36.8
CO,2011,9,25.604699244699244,25,12.6,16.5,37.2
CO,2011,10,24.772285176309484,24,16.4,18.5,35.2
CO,2011,11,24.68384041838934,24,16.4,18.4,34.9
CO,2011,12,24.76881970416793,24,17.6,19.4,34.8
CO,2012,1,24.199274435233704,23.5,17.5,19.3,33.8
CO,2012,2,24.646540986999305,23.8,17.6,19.2,34.6
CO,2012,3,24.461294910433104,23.6,16.2,18.9,33.9
CO,2012,4,24.436107227314313,23.7,16,18.7,33.4
CO,2012,5,22.37890987660573,21.9,11.5,15.4,32.5
CO,2012,6,22.02391176164545,21.5,10.5,13.9,32.7
CO,2012,7,21.422141453165242,20.8,7.4,11.7,34
CO,2012,8,23.54480969152502,23,11.5,14.4,35.5
CO,2012,9,25.93597811453623,25.3,12.4,16.6,38
CO,2012,10,26.451239212400502,25.7,17.4,19.5,37.3
CO,2012,11,25.105607832283955,24.3,18.5,20,34.5
CO,2012,12,25.721886058032556,24.9,18.6,20.4,35
CO,2013,1,24.844822088085515,24.1,18.1,19.8,34.4
CO,2013,2,24.78603869561268,23.9,18.5,19.9,33.9
CO,2013,3,24.968787943600795,24.2,18,19.8,34.4
