regiao,mes,avg_temp_ar,avg_temp_min,avg_temp_max,med_temp_ar,q1_temp_ar,q3_temp_ar,med_temp_min,q1_temp_min,q3_temp_min,med_temp_max,q1_temp_max,q3_temp_max
CO,1,24.82304575971869,24.209586044773797,25.468919807740956,24,18.1,34.2,23.5,17.7,33.3,24.6,18.5,35
CO,2,24.91157448884648,24.288549562257124,25.56952945445748,24.1,18.3,34.2,23.6,17.9,33.3,24.7,18.7,35.1
CO,3,24.757431671334032,24.147986908055106,25.400146729401637,24,17.9,33.8,23.5,17.5,32.9,24.6,18.3,34.6
CO,4,24.28995011024518,23.655753417972722,24.956200007319723,23.8,14.4,33.8,23.2,14,33,24.3,15,34.6
CO,5,22.752747064001547,22.099585204858805,23.435604579726334,22.4,11.4,33,21.8,10.9,32.1,23,11.9,33.7
CO,6,21.87110264719079,21.15182057794795,22.610238693342005,21.3,9.8,32.9,20.7,9.3,32.1,22.1,10.4,33.7
CO,7,21.818592846981847,21.00163188834734,22.651289247126225,21.2,8.2,34,20.3,7.8,33.2,22.1,8.7,34.8
CO,8,23.646062791518048,22.753871588348463,24.550373887310187,23.1,9.3,36.2,22.2,8.8,35.3,24.1,9.9,36.9
CO,9,25.627564395368697,24.810669570816476,26.463165779821253,25,12.9,37.4,24.2,12.4,36.6,25.9,13.4,38.2
CO,10,25.78771377562382,25.08063284254104,26.52464378103816,25,16,37.2,24.3,15.5,36.3,25.8,16.5,38
CO,11,25.033730190900844,24.408263241755588,25.691616453065734,24.3,17.4,34.9,23.7,17,34,24.9,17.9,35.7
CO,12,24.986405931252076,24.383681495508437,25.622497336848134,24.2,18.1,34.3,23.7,17.7,33.4,24.8,18.4,35.1
N,1,25.80346860309289,25.304658336327464,26.3409708970418,25.1,20.7,33.3,24.7,20.5,32.4,25.6,21,34
N,2,25.683315380292242,25.190977067041562,26.2118530884808,25,20.6,33.3,24.6,20.4,32.3,25.4,20.9,34.1
N,3,25.863548288141697,25.36483441055499,26.395528817905028,25.1,21,33,24.8,20.7,32.1,25.6,21.3,33.8
N,4,26.063387917465906,25.54776466012945,26.611826717408817,25.3,20.8,33.4,24.9,20.5,32.5,25.8,21.2,34.1
N,5,26.138247714573208,25.59573666972848,26.714326725832453,25.4,19.5,33.7,25,19.2,32.8,26,20,34.4
N,6,25.99045485862354,25.382775512671166,26.626096297822652,25.4,17.5,33.7,24.9,17,32.9,26,18,34.4
N,7,25.944334233692153,25.27780170984607,26.637543933176477,25.5,15.7,34.6,24.9,15.2,33.8,26.1,16.3,35.4
N,8,26.907018195419013,26.196657354401236,27.644892370903175,26.4,16.6,36.4,25.7,16,35.5,27.1,17.3,37.2
N,9,27.585994601522554,26.90807055905921,28.295809366858396,26.9,19.5,37.1,26.3,18.8,36.3,27.6,20.2,37.9
N,10,27.429092322574437,26.812443272088725,28.082347262236883,26.7,21,36.7,26.1,20.7,35.8,27.3,21.3,37.5
N,11,26.932262087390292,26.374640464842987,27.526385845792255,26.3,21,34.8,25.7,20.7,34,26.9,21.3,35.6
N,12,26.351410916785465,25.827428037438924,26.915055634119607,25.6,20.9,34.1,25.1,20.6,33.2,26.2,21.2,34.8
NE,1,26.476037609682145,25.88129781413793,27.111936613653327,26.1,19,35.3,25.6,18.7,34.4,26.7,19.4,36.2
NE,2,26.367506129947845,25.779382203039948,26.993600736095004,26,19.1,35,25.4,18.8,34.1,26.6,19.5,35.9
NE,3,26.530521814271207,25.941539704771834,27.15692918835577,26.1,19.5,35.2,25.5,19.1,34.3,26.7,19.8,36
NE,4,26.063175428215427,25.492556692036747,26.6689370451441,25.6,18.8,34.5,25,18.4,33.6,26.2,19.2,35.3
NE,5,25.46368537916202,24.90218202360186,26.06038820920687,25,17.5,34.4,24.5,17.1,33.5,25.6,17.9,35.2
NE,6,24.779078562565893,24.183584637489606,25.40307217377472,24.4,16.2,34.1,23.8,15.8,33.3,25,16.7,34.9
NE,7,24.280063800064628,23.657377242696597,24.92637485872159,23.9,15.2,34.4,23.3,14.8,33.5,24.5,15.8,35.1
NE,8,24.798760240511086,24.129319169326276,25.491285548062606,24.4,15.2,35.8,23.7,14.7,34.9,25.1,15.7,36.6
NE,9,25.94020436619211,25.260746288033914,26.646867937916657,25.5,16.2,37,24.9,15.8,36.2,26.2,16.7,37.8
NE,10,26.840773037189063,26.18840352960178,27.529980852713848,26.3,17.9,37.5,25.7,17.5,36.7,26.9,18.2,38.4
NE,11,26.896267776867823,26.274244815134498,27.558718631178706,26.4,18.6,36.9,25.8,18.3,36.1,27,18.9,37.8
NE,12,26.933099726749102,26.321430800494397,27.588174442090985,26.5,19.1,36.4,25.9,18.8,35.5,27,19.5,37.3
S,1,23.053480589154294,22.42817615347466,23.691179565505895,22.8,13.1,33.6,22.2,12.7,32.7,23.4,13.5,34.5
S,2,23.331538534270642,22.726558174483905,23.952370406986322,23,13.8,34,22.5,13.4,33,23.6,14.2,34.8
S,3,21.45158438094786,20.86279504936198,22.062046749732467,21.3,11.1,32,20.8,10.6,31.1,21.9,11.6,32.8
S,4,19.38828476897955,18.822307437168956,19.99355770169955,19.5,7.1,30.9,18.9,6.6,30.1,20,7.6,31.7
S,5,16.2231012070933,15.721185143337989,16.749828642313794,16.3,5.2,26.9,15.8,4.7,26.2,16.8,5.7,27.6
S,6,14.008821052237549,13.49971636548274,14.532410376347555,14.2,1.6,25.9,13.7,1,25.1,14.6,2.2,26.6
S,7,13.953760565015635,13.417844185659824,14.506518703991187,14.2,0.8,26.9,13.7,0.3,26.1,14.7,1.3,27.6
S,8,15.936259462721189,15.360051116507613,16.53140741582767,15.9,2.6,30,15.3,2.1,29.2,16.4,3.1,30.7
S,9,17.32520848479234,16.761643454768528,17.914930511489423,17,5,31.8,16.6,4.5,31,17.5,5.5,32.6
S,10,18.962640553268994,18.398899092401976,19.549422856453845,18.7,7.8,32.2,18.2,7.3,31.4,19.2,8.3,33
S,11,20.747968326937688,20.137637699970224,21.37454714216496,20.6,9.4,32.3,20,8.9,31.5,21.2,9.9,33.1
S,12,22.45342190151847,21.85501406530346,23.081725065971956,22.2,11.8,33.4,21.7,11.3,32.5,22.8,12.2,34.2
SE,1,24.064577117282536,23.436158879402974,24.73048089366623,23.5,15.4,34.4,22.9,15,33.4,24.2,15.8,35.3
SE,2,24.43040254104032,23.753656879016464,25.150418281694396,23.9,15.6,34.4,23.3,15.1,33.5,24.6,16,35.3
SE,3,23.590238642184286,22.985466283219257,24.238212361871103,23.1,14.8,33.7,22.6,14.4,32.7,23.7,15.2,34.5
SE,4,22.29750276255813,21.682693304088012,22.954268784147107,22.1,11.9,32.7,21.5,11.4,31.8,22.7,12.4,33.6
SE,5,19.9847912009974,19.36746682903599,20.636742636893043,19.8,9.1,30.8,19.2,8.5,29.9,20.4,9.6,31.6
SE,6,18.87680218402893,18.230635322532066,19.552867664754363,18.8,6.8,30.1,18.2,6.3,29.3,19.4,7.5,30.9
SE,7,18.84870217749152,18.15936494210798,19.565403704486464,18.7,6.9,30.3,18.1,6.3,29.5,19.4,7.5,31.1
SE,8,19.875923710773687,19.123359791003836,20.655189999930595,19.6,7.3,32.5,18.9,6.8,31.7,20.3,8,33.3
SE,9,21.853048600967846,21.127358358378395,22.61322662281956,21.4,9.5,34.8,20.7,9,34,22.1,10.1,35.6
SE,10,22.924986436721138,22.2726162444869,23.61939848882103,22.4,11.7,35.7,21.8,11.3,34.7,23,12.2,36.5
SE,11,22.90750677438569,22.319705721918403,23.538152995773274,22.5,12.8,33.6,22,12.4,32.7,23.1,13.3,34.5
SE,12,23.82423117051879,23.21776909427266,24.470796970906463,23.3,15,34,22.8,14.6,33.1,23.9,15.4,34.9
BR,1,24.90459212497808,24.305133512651217,25.53669530564721,24.5,15.7,34.6,24,15.3,33.7,25.1,16.1,35.4
BR,2,25.015866767966482,24.409547812193242,25.656840914814293,24.6,16.2,34.5,24,15.7,33.5,25.1,16.6,35.3
BR,3,24.524395802939605,23.939763045774967,25.144008093241904,24.2,14.2,34.1,23.8,13.8,33.2,24.8,14.6,35
BR,4,23.65004174477852,23.06611519677721,24.272536259077466,23.8,10.9,33.6,23.3,10.4,32.7,24.3,11.4,34.4
BR,5,22.118630307075918,21.542616835711218,22.731777905164662,22.5,8.4,33.3,22,7.9,32.4,23.1,8.9,34.1
BR,6,21.119867466560017,20.504767897613654,21.763229612860403,21.5,5.4,33.3,20.9,4.9,32.4,22.1,6,34
BR,7,20.937735432460887,20.27486576254703,21.626034061087985,21.2,4.5,33.8,20.5,4,33,21.8,5.1,34.6
BR,8,22.106672670458945,21.388606093831648,22.84620442765663,22.2,6.1,35.5,21.5,5.7,34.7,22.9,6.6,36.3
BR,9,23.59931470783935,22.905030111240656,24.322244689728684,23.6,8.6,36.7,22.9,8.1,35.8,24.3,9.1,37.5
BR,10,24.398248358128622,23.75572767947704,25.0738801258873,24.2,11,36.8,23.6,10.6,35.9,24.8,11.5,37.6
BR,11,24.51159561754899,23.907091701392954,25.14940169739497,24.2,12.6,35.6,23.7,12.1,34.7,24.8,13.1,36.4
BR,12,24.95989537380931,24.36493933179936,25.592533899365854,24.6,14.9,35.2,24,14.5,34.3,25.1,15.3,36.1
