regiao;estado;idade;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
N;RO;0-4;154445;136436;134343;133371;133100;133760;135292;136504;137670;139155;139897;139925;140426
N;RO;5-9;163927;150565;146626;143478;141279;139288;137133;135035;134054;133775;134420;135938;137135
N;RO;10-14;161518;158612;159145;158079;155742;153121;150699;146770;143626;141429;139438;137286;135193
N;RO;15-19;163995;158003;158364;158610;158660;158421;157821;158362;157311;154992;152394;149988;146090
N;RO;20-24;162510;153337;153996;154735;155501;156182;156699;157074;157337;157399;157176;156601;157155
N;RO;25-29;157184;148157;150135;151486;152375;153058;153695;154341;155068;155824;156490;156992;157352
N;RO;30-34;135337;134699;138120;141426;144524;147308;149718;151644;152947;153798;154448;155050;155661
N;RO;35-39;118476;118020;120850;124123;127693;131307;134789;138162;141423;144476;147220;149596;151496
N;RO;40-44;107716;106965;109107;110967;112749;114749;117156;119952;123182;126707;130275;133711;137045
N;RO;45-49;91629;91808;94834;97732;100465;103002;105336;107454;109299;111064;113045;115427;118182
N;RO;50-54;70459;72803;76057;79398;82750;86012;89112;92069;94906;97588;100080;102378;104469
N;RO;55-59;52054;55064;57880;60726;63622;66596;69660;72801;76030;79269;82429;85430;88302
N;RO;60-64;36386;39684;41686;43893;46274;48777;51378;54052;56755;59508;62332;65251;68240
N;RO;65-69;26251;28589;29654;30846;32178;33677;35351;37206;39248;41454;43766;46173;48643
N;RO;70-74;18363;20551;21137;21724;22355;23077;23915;24863;25921;27098;28431;29910;31555
N;RO;75-79;11247;13186;13646;14153;14681;15200;15701;16202;16709;17255;17871;18578;19369
N;RO;80-84;5882;7387;7613;7856;8121;8413;8731;9077;9462;9858;10251;10632;11015
N;RO;85-89;2339;3211;3391;3559;3719;3869;4016;4166;4326;4506;4700;4907;5130
N;RO;90;889;1557;1626;1722;1832;1949;2061;2177;2304;2434;2562;2687;2820
N;AC;0-4;89420;90458;88578;87495;85792;84870;85420;84882;83850;83908;83568;82983;83214
N;AC;5-9;88659;93501;93418;92835;92365;91870;89829;87963;86896;85208;84300;84864;84343
N;AC;10-14;82563;88826;90507;91818;92691;92861;93095;93025;92452;91992;91501;89474;87618
N;AC;15-19;74739;77966;79882;82048;84311;86429;88239;89930;91248;92130;92314;92557;92500
N;AC;20-24;68617;71232;71954;72890;74068;75502;77186;79106;81274;83539;85661;87475;89173
N;AC;25-29;66147;68276;69008;69415;69652;69952;70477;71212;72163;73352;74790;76480;78398
N;AC;30-34;54850;59860;61778;63572;65175;66516;67562;68305;68726;68978;69296;69833;70580
N;AC;35-39;44817;48387;50297;52439;54705;56928;58985;60905;62699;64307;65654;66708;67465
N;AC;40-44;37229;40437;41878;43181;44457;45882;47564;49466;51601;53854;56070;58117;60030
N;AC;45-49;29929;31885;33227;34768;36425;38062;39590;41023;42318;43591;45005;46681;48564
N;AC;50-54;24514;26250;27114;27944;28799;29773;30927;32255;33774;35405;37021;38523;39942
N;AC;55-59;18589;20718;21553;22411;23282;24149;25017;25869;26691;27537;28493;29628;30926
N;AC;60-64;13340;15415;16061;16795;17591;18408;19213;20024;20856;21702;22550;23392;24222
N;AC;65-69;10025;11769;12213;12619;13023;13481;14017;14634;15337;16090;16867;17635;18407
N;AC;70-74;7033;8188;8548;8966;9421;9870;10305;10719;11097;11481;11905;12405;12977
N;AC;75-79;4666;5580;5727;5899;6097;6337;6619;6944;7318;7719;8116;8499;8864
N;AC;80-84;2917;3621;3693;3768;3855;3955;4070;4203;4351;4526;4726;4963;5227
N;AC;85-89;1308;1814;1931;2019;2089;2152;2216;2276;2343;2415;2499;2587;2692
N;AC;90;770;1142;1132;1163;1216;1276;1334;1396;1463;1531;1599;1666;1734
N;AM;0-4;418820;401044;400499;401135;402072;404171;408138;409533;408846;408742;406547;403816;404001
N;AM;5-9;414700;389220;386900;387963;391512;397358;399759;399254;399915;400870;402987;406968;408397
N;AM;10-14;406179;405489;407597;404782;399140;392271;388591;386290;387365;390922;396768;399177;398684
N;AM;15-19;376600;369404;377108;386130;395071;401776;404985;407089;404293;398681;391850;388197;385927
N;AM;20-24;344025;343925;348091;352553;357532;363326;370005;377636;386576;395428;402062;405227;407298
N;AM;25-29;331524;327491;331892;335191;337905;340818;344440;348562;352971;357895;363618;370216;377753
N;AM;30-34;279509;289128;298023;306288;313757;320233;325650;330031;333328;336043;338955;342570;346674
N;AM;35-39;229142;235776;245216;255400;265913;276121;285605;294427;302629;310054;316498;321898;326283
N;AM;40-44;185722;194471;201439;208460;215747;223631;232265;241599;251669;262062;272163;281555;290296
N;AM;45-49;157705;159321;165249;171355;177647;184138;190848;197724;204653;211852;219634;228157;237366
N;AM;50-54;121564;127537;132887;138272;143720;149262;154923;160728;166712;172876;179242;185820;192564
N;AM;55-59;90258;97462;102107;106860;111716;116683;121774;126943;132154;137432;142800;148290;153920
N;AM;60-64;61718;70426;73922;77833;82042;86373;90717;95132;99654;104277;109009;113860;118789
N;AM;65-69;44694;52375;54258;56165;58235;60648;63507;66756;70384;74284;78301;82333;86446
N;AM;70-74;32165;37032;38385;39892;41495;43144;44805;46507;48243;50125;52312;54887;57795
N;AM;75-79;20746;24999;25771;26570;27428;28372;29423;30585;31866;33231;34633;36050;37511
N;AM;80-84;11554;14989;15452;15970;16534;17116;17716;18336;18985;19681;20440;21274;22187
N;AM;85-89;5322;7926;8004;8169;8394;8663;8957;9285;9655;10053;10464;10885;11326
N;AM;90;2509;5133;5240;5338;5433;5532;5632;5754;5914;6103;6314;6534;6778
N;RR;0-4;53903;50711;51445;51852;52087;52447;52931;53503;54616;56192;57800;59429;60910
N;RR;5-9;55427;50303;49830;50119;50663;50893;51490;52265;52953;53732;54614;55499;56319
N;RR;10-14;51989;52543;52840;52446;51865;51676;51195;50739;51160;52010;52601;53536;54588
N;RR;15-19;47956;47558;48825;50264;51686;52818;53511;53840;53691;53545;53712;53438;53040
N;RR;20-24;43832;44147;44926;45829;46845;47943;49159;50625;53361;56903;59600;60916;61022
N;RR;25-29;41075;43713;44472;44892;45138;45469;46164;47303;50407;55310;59768;63061;65306
N;RR;30-34;34083;37446;39163;40888;42517;43895;45032;46088;48203;51815;55632;59214;62404
N;RR;35-39;29160;30110;31497;33049;34718;36430;38186;40091;42992;46987;50842;54063;56626
N;RR;40-44;25155;25614;26410;27226;28112;29135;30381;31902;34266;37579;41007;44208;47152
N;RR;45-49;20947;21781;22516;23226;23922;24637;25421;26328;27778;29910;32196;34456;36671
N;RR;50-54;16172;17124;17943;18787;19635;20449;21226;22008;23034;24412;25920;27439;28952
N;RR;55-59;11764;12801;13476;14176;14900;15656;16441;17277;18317;19582;20829;21951;22971
N;RR;60-64;7749;9182;9741;10298;10867;11452;12078;12744;13531;14473;15470;16481;17482
N;RR;65-69;4848;6082;6461;6903;7387;7895;8410;8939;9520;10191;10886;11602;12320
N;RR;70-74;3268;4210;4372;4533;4714;4938;5226;5574;6006;6506;7040;7566;8094
N;RR;75-79;1890;2606;2713;2852;3004;3157;3301;3447;3604;3796;4025;4305;4632
N;RR;80-84;1097;1604;1616;1633;1666;1716;1786;1872;1988;2122;2259;2386;2508
N;RR;85-89;468;820;859;883;898;910;924;941;961;992;1032;1087;1152
N;RR;90;186;465;438;434;442;454;466;481;497;511;528;544;564
N;PA;0-4;831347;797433;782470;766883;750588;739204;734749;727703;722199;722380;720553;717267;718036
N;PA;5-9;839583;823378;819406;816291;812055;804764;793031;778195;762734;746554;735268;730890;723935
N;PA;10-14;816504;847110;846057;840094;832444;824901;817535;813660;810638;806502;799314;787696;772978
N;PA;15-19;777316;797478;805092;814792;824836;832533;836239;835330;829542;822083;814737;807565;803869
N;PA;20-24;736319;758804;762283;765695;769525;774427;780667;788440;798263;808431;816264;820147;819458
N;PA;25-29;704679;716721;725713;731905;736097;739566;743184;746829;750413;754403;759451;765815;773692
N;PA;30-34;587368;625351;643486;661113;677554;691876;703546;712595;718882;723191;726789;730538;734309
N;PA;35-39;496514;521264;538418;556811;575962;595111;613695;631730;649269;665645;679935;691601;700687
N;PA;40-44;414305;440515;454441;467652;480791;494904;510589;527590;545815;564792;583769;602204;620096
N;PA;45-49;346697;358628;371222;385223;400078;414890;429138;442876;455929;468914;482866;498356;515141
N;PA;50-54;284225;298059;307210;315994;324906;334688;345775;358107;371798;386325;400816;414768;428236
N;PA;55-59;219570;236077;245819;255567;265210;274624;283769;292654;301199;309874;319387;330158;342126
N;PA;60-64;157802;176721;184030;192376;201451;210777;220050;229329;238622;247827;256823;265574;274087
N;PA;65-69;119084;136143;140478;144550;148755;153651;159555;166375;174151;182595;191274;199911;208561
N;PA;70-74;84047;96588;100225;104219;108412;112567;116592;120499;124193;128025;132473;137809;143950
N;PA;75-79;54140;63546;65740;68067;70547;73213;76069;79148;82531;86076;89594;93002;96329
N;PA;80-84;30776;37492;38707;40014;41412;42911;44509;46216;48033;49975;52057;54279;56667
N;PA;85-89;13983;18313;19153;19988;20815;21636;22443;23280;24184;25152;26189;27288;28467
N;PA;90;7397;13332;12993;12900;12981;13175;13440;13790;14239;14753;15306;15877;16500
N;AP;0-4;83669;79189;79467;79276;79232;79398;79722;80137;80866;81129;80698;80179;79738
N;AP;5-9;85382;81886;80762;79904;79228;79369;80104;80368;80169;80117;80265;80576;80978
N;AP;10-14;77559;80177;81759;82711;83417;83586;82919;81788;80919;80229;80356;81075;81327
N;AP;15-19;70198;74149;75773;77451;79097;80561;81750;83308;84237;84920;85068;84379;83230
