regiao,ano,mes,admissoes,pop_total,age_hosp_rate,periodo
CO,2009,1,660,8283123,11.871447496107224,1
CO,2009,2,645,8555982,10.768038435485538,2
CO,2009,3,634,8619973,10.865445265153506,3
CO,2009,4,592,8628054,10.22845242791579,4
CO,2009,5,667,7797401,12.806057497530919,5
CO,2009,6,659,7824001,12.335134823333313,6
CO,2009,7,695,7625597,14.155695519009651,7
CO,2009,8,685,8847610,11.549848700961851,8
CO,2009,9,688,8627421,12.316989697923395,9
CO,2009,10,634,8563101,10.9104825513757,10
CO,2009,11,656,8535091,10.703575299313261,11
CO,2009,12,655,8632419,10.923792210687832,12
CO,2010,1,650,8994301,9.817971118832823,13
CO,2010,2,591,8268937,9.807794175898247,14
CO,2010,3,713,8714338,11.287513083588408,15
CO,2010,4,703,8934447,10.744216883072468,16
CO,2010,5,666,8978461,9.99562335705057,17
CO,2010,6,656,9001398,9.687394922683893,18
CO,2010,7,673,9183434,9.753578920121925,19
CO,2010,8,733,8742386,11.538793425574022,20
CO,2010,9,680,8982144,10.215721150114005,21
CO,2010,10,678,8693282,10.669115957348797,22
CO,2010,11,626,8696210,9.856313478422072,23
CO,2010,12,654,9004109,9.791943459956123,24
CO,2011,1,647,8162511,10.381608846648051,25
CO,2011,2,578,8671389,8.532756282164302,26
CO,2011,3,686,8958989,10.14168746607451,27
CO,2011,4,589,7949546,10.069581972430129,28
CO,2011,5,706,8970359,10.858015095472723,29
CO,2011,6,696,8915395,10.388934727438885,30
CO,2011,7,705,9457128,10.198328690860576,31
CO,2011,8,749,9252559,11.016545593661716,32
CO,2011,9,702,8982468,10.724035224772798,33
CO,2011,10,723,8627795,11.182442843180024,34
CO,2011,11,664,9703837,9.158509289420957,35
CO,2011,12,714,8892722,10.959647413172789,36
CO,2012,1,697,9096194,9.618713746862356,37
CO,2012,2,669,8609261,10.329323468358874,38
CO,2012,3,709,9461308,9.53500811897372,39
CO,2012,4,673,9464317,9.341573600722297,40
CO,2012,5,679,9436601,9.712109640913102,41
CO,2012,6,631,8914993,9.590055819119582,42
CO,2012,7,674,9369320,9.473919281347005,43
CO,2012,8,639,9708782,8.621556242333083,44
CO,2012,9,693,8527560,10.651931494834827,45
CO,2012,10,595,9461308,8.817463532311319,46
CO,2012,11,684,9640813,9.360720832574998,47
CO,2012,12,622,8674026,9.637892756518953,48
CO,2013,1,694,9196594,9.879328226683262,49
CO,2013,2,662,9352982,9.108125406750034,50
CO,2013,3,684,9928876,8.68130767880805,51
CO,2013,4,736,9913052,9.186330172502995,52
CO,2013,5,701,9396029,9.699477613055842,53
CO,2013,6,705,8757289,9.778740528308353,54
CO,2013,7,797,9913052,10.146609553388071,55
CO,2013,8,720,9403973,9.351436683442126,56
CO,2013,9,682,9423429,9.142653344017335,57
CO,2013,10,692,9133241,9.664998663496776,58
CO,2013,11,674,8818004,9.362101629578232,59
CO,2013,12,688,9330625,8.794592558770688,60
CO,2014,1,710,9847301,8.855922365843247,61
CO,2014,2,633,9654522,8.041427439000623,62
CO,2014,3,702,9061691,9.438058520855,63
CO,2014,4,710,9641244,8.71938941741039,64
CO,2014,5,669,9316826,8.533996978681396,65
CO,2014,6,724,9664110,8.671748002834091,66
CO,2014,7,649,9431859,8.441705251016137,67
CO,2014,8,720,9583059,8.717312972347116,68
CO,2014,9,691,9078168,8.909281654171094,69
CO,2014,10,735,9874669,8.799170841467596,70
CO,2014,11,643,9132372,8.780148295398957,71
CO,2014,12,632,9410373,7.879158548782848,72
CO,2015,1,675,9621447,8.057810218183937,73
CO,2015,2,631,8931557,8.402711175233405,74
CO,2015,3,681,10082158,7.556598990323664,75
CO,2015,4,666,9270167,8.62240483425679,76
CO,2015,5,743,9808063,8.924356048883437,77
CO,2015,6,678,10601788,6.9692287165573505,78
CO,2015,7,714,9853895,8.188882466112075,79
CO,2015,8,741,9210469,8.91613763922183,80
CO,2015,9,699,9579828,8.643818490050796,81
CO,2015,10,726,10359588,7.994220427684838,82
CO,2015,11,652,9540320,7.581638782147347,83
CO,2015,12,678,9530991,8.064220171434275,84
CO,2016,1,712,9835959,8.258618250109905,85
CO,2016,2,657,10091815,7.538751153674784,86
CO,2016,3,731,9768831,8.552163538508864,87
CO,2016,4,679,9754264,8.002271211201569,88
CO,2016,5,715,9749194,8.728091138089383,89
CO,2016,6,692,9851878,8.184206548311003,90
CO,2016,7,776,9990218,8.578133373807832,91
CO,2016,8,717,10290586,7.819771017385357,92
CO,2016,9,695,9751126,8.274994023775532,93
CO,2016,10,640,10126567,7.286649107326844,94
CO,2016,11,606,9494188,7.2810506677219715,95
CO,2016,12,679,9849444,7.985619124772189,96
CO,2017,1,738,10299166,8.02762129039504,97
CO,2017,2,619,10264357,6.865353728885002,98
CO,2017,3,682,10571648,7.216036157762236,99
CO,2017,4,734,9658332,8.620748439273097,100
CO,2017,5,712,9496640,8.343171415357194,101
CO,2017,6,775,9747954,9.455298834242104,102
CO,2017,7,753,9815177,8.747391474198167,103
CO,2017,8,753,10797520,7.8889936395283735,104
CO,2017,9,690,10233452,7.763210698994001,105
CO,2017,10,673,9768351,7.943296912761034,106
CO,2017,11,623,10023348,7.0214296927928075,107
CO,2017,12,700,10540722,7.4844125516106095,108
CO,2018,1,695,10481513,7.4976996843275465,109
CO,2018,2,710,10736346,7.449070168985446,110
CO,2018,3,734,10013296,8.305493151886806,111
CO,2018,4,640,10778014,6.510780195705289,112
CO,2018,5,754,11005839,7.657636642855749,113
CO,2018,6,740,9390115,8.778756868102631,114
CO,2018,7,808,10748855,8.450383155454169,115
CO,2018,8,821,9442622,9.762574353213163,116
CO,2018,9,735,10489351,7.678798569973418,117
CO,2018,10,674,10078805,7.51458309317659,118
CO,2018,11,683,10972009,7.186921918986519,119
CO,2018,12,624,10169655,6.903998210467302,120
N,2009,1,653,7506162,19.07034386150527,1
N,2009,2,559,7546041,15.299971048732774,2
N,2009,3,688,7881335,17.24440730591785,3
N,2009,4,716,7309062,21.34410149719576,4
N,2009,5,640,7502239,17.96236975110314,5
N,2009,6,629,7373605,17.390805464554113,6
N,2009,7,697,7771903,19.569899436815728,7
N,2009,8,636,7795847,17.657101470159073,8
N,2009,9,630,7232302,16.243164464420918,9
