estado,regiao,ano,mes,avg_temp_ar,p50_temp_ar,p25_temp_ar,p75_temp_ar
BR,BR,2009,1,24.461777395776842,24.1,21.7,27.2
BR,BR,2009,2,24.65943925163592,24.2,22.2,27.2
BR,BR,2009,3,24.70827542640556,24.4,22.1,27.3
BR,BR,2009,4,23.326329961228833,23.6,20.8,26.2
BR,BR,2009,5,21.930253075536033,22.6,18.8,25.3
BR,BR,2009,6,20.238265103822474,21,16.2,24.6
BR,BR,2009,7,20.84738520280671,21.3,16.8,25.4
BR,BR,2009,8,22.089176629927145,22.1,18.1,26.3
BR,BR,2009,9,23.5346747667547,23.5,19.7,27.6
BR,BR,2009,10,24.15864358315193,24.1,21,27.7
BR,BR,2009,11,25.412265136768774,25,22.3,28.5
BR,BR,2009,12,24.822380253166234,24.5,22.1,27.5
BR,BR,2010,1,25.10157103291251,24.7,22.4,27.8
BR,BR,2010,2,25.761716962673088,25.4,22.9,28.6
BR,BR,2010,3,25.06346063817517,24.7,22.3,28
BR,BR,2010,4,23.46513144958483,23.8,20.4,26.8
BR,BR,2010,5,22.1022383980589,22.6,17.9,26.3
BR,BR,2010,6,21.030449375667953,21.4,16.6,25.5
BR,BR,2010,7,21.165022041147843,21.4,17,25.5
BR,BR,2010,8,21.520735450729813,21.7,16.9,26.4
BR,BR,2010,9,23.55141163577388,23.4,19.1,27.8
BR,BR,2010,10,23.82920924099338,23.8,20.1,27.8
BR,BR,2010,11,24.067433284813198,23.9,20.9,27.5
BR,BR,2010,12,24.67597757313387,24.4,21.9,27.5
BR,BR,2011,1,24.678158660272036,24.2,22.1,27.3
BR,BR,2011,2,24.600215661160192,24.1,22.1,27.1
BR,BR,2011,3,23.886371554260858,23.6,21.5,26.4
BR,BR,2011,4,23.286163922770704,23.4,20.6,26.3
BR,BR,2011,5,21.405526942513603,22,17.6,25.3
BR,BR,2011,6,20.33734891351659,20.8,15.9,25
BR,BR,2011,7,20.726966096000947,21,16.5,25.3
BR,BR,2011,8,21.94999588088169,22.1,17.4,26.8
BR,BR,2011,9,22.893076021788584,23,18.4,27.4
BR,BR,2011,10,23.62349311980098,23.5,20.2,27.1
BR,BR,2011,11,23.59019841143258,23.5,20.5,26.9
BR,BR,2011,12,24.405614881579268,24,21.4,27.4
BR,BR,2012,1,24.261611985196375,23.8,21.5,27
BR,BR,2012,2,24.744599636173035,24.2,21.9,27.5
BR,BR,2012,3,24.312055476309567,24,21.5,27.4
BR,BR,2012,4,23.789724681663174,23.8,20.8,27.2
BR,BR,2012,5,22.088321852064375,22.3,18.3,25.9
BR,BR,2012,6,21.46610455843509,21.8,17.5,25.7
BR,BR,2012,7,20.768536633580332,21.2,16.3,25.5
BR,BR,2012,8,22.203846491400625,22.1,18.1,26.2
BR,BR,2012,9,23.713684203953303,23.7,19.6,28.1
BR,BR,2012,10,24.90919159690602,24.6,21.2,28.6
BR,BR,2012,11,24.620988081742702,24.3,21.7,27.6
