ano,abaixo_tropic,min,q1,median,q3,max,mean,sd
2009,nao,44.8,21.8,24.3,27.5,44.8,24.5535448332678,4.5302881022413715
2009,sim,42.4,15.7,19.8,23.5,42.4,19.498170175459382,5.938508299827303
2010,nao,44.6,21.7,24.6,28.1,44.6,24.72830897147118,4.962910751844602
2010,sim,41.7,15.5,19.5,23.4,41.7,19.387735068849388,5.96524290189382
2011,nao,42,21.4,24,27.3,42,24.216645172961957,4.7594807696541
2011,sim,44.2,15.3,19.4,23.1,44.2,19.13591683309683,5.99433214365575
2012,nao,44.8,21.6,24.4,27.9,44.8,24.677484415220015,4.854764946714327
2012,sim,42,16.1,20,23.8,42,19.91863966244005,5.984448264550802
2013,nao,44.6,21.7,24.4,27.8,44.6,24.62227124783314,4.787085685830612
2013,sim,39.9,15.4,19.3,23.1,39.9,19.148639309360348,5.929731300312479
2014,nao,44.9,21.7,24.3,27.7,44.9,24.591294306387915,4.7168404439768805
2014,sim,41.3,16.4,20.1,23.9,41.3,20.174842296163554,5.792927327296111
2015,nao,41.9,22,24.8,28.5,41.9,25.19657353629332,4.8676976627940975
2015,sim,40.7,16.6,20.1,23.6,40.7,20.111824732047538,5.424788939207517
2016,nao,41.7,22,24.9,28.4,41.7,25.064115342195677,4.958252065536916
2016,sim,39.4,15.1,19.6,23.5,39.4,19.321755120609613,6.3047093854620115
2017,nao,44.3,21.7,24.5,28,44.3,24.70826070726724,4.9130345488314715
2017,sim,39.5,16.4,20,23.6,39.5,20.033754422643163,5.5779675575996865
2018,nao,45,21.5,24.2,27.7,45,24.43256840691237,4.858917609530621
2018,sim,39.2,16.1,20,23.6,39.2,19.79999345199668,5.844344118238532
